GeneName,SARS-CoV-1_L2FC,IAV_L2FC,MERS-CoV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2)LowMOI_L2FC,SARS-CoV-2(A549-ACE2)HiMOI_L2FC,SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_SARS-CoV-1,padj_IAV,padj_MERS-CoV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2)LowMOI,padj_SARS-CoV-2(A549-ACE2)HiMOI,padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
SNORA29,0.13623,-0.03703,0.26483,0.34079291,0.03691607,0.40743,-0.36848,0.80026,1.47323685,1.25476603,1,1,1,1,1,0,1,0,1,1
SNORA2A,0.21842,0.01315,0.1666,-0.1304174,0.06163306,0.10599,-0.0045,0.46418,0.53924143,0.39270193,1,1,1,1,1,0,1,0,1,1
SNORA2B,-0.0348,-0.10328,0.2837,0.13968723,0.0031317,0,-0.4626,0.30691,0.20734784,1.53740437,1,1,1,1,1,0,1,0,1,1
SNORA30,-0.14865,0,-0.14629,0,0,0,-0.21442,0,0.36188165,0,1,1,1,1,1,0,1,0,1,1
SNORA31,-0.17322,0.32835,-0.47322,-0.4818243,-0.747224,0.72925,0.29359,1.55832,3.85500178,3.43375051,0.67769304,1,0.24383455,1,1,0,1,0,1.62E-18,1.95E-14
SNORA32,0.25851,-0.3429,-0.0957,0.09199449,-0.6925913,0.47753,0.35537,1.80339,1.55606036,1.70508079,1,1,0.7984757,0.90255316,1,0.29845928,0.37106251,0,0.00017735,4.84E-06
SNORA33,0.26596,0.05163,-0.17059,0.91736817,0.29124707,0.11903,0.382,0.71918,-0.4140318,0.33062765,0.50673077,1,0.72581598,1,1,0.80986167,0.35371475,0,1,1
SNORA34,0,0,0.12516,0.46581066,0,-0.19826,0.31644,-0.13368,0.9016236,1.63682517,1,1,1,1,1,0,1,0,1,1
SNORA35,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORA36A,-0.0348,0,0.03932,0,0.14959346,0,0.07802,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORA36B,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORA36C,0,0,0,0,0,0,-0.13135,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORA37,0.05656,0,0,0,0,-0.05263,0.07802,0.48135,0.50127593,0,1,1,1,1,1,0,1,0,1,1
SNORA38,-0.0365,0,0.03385,-0.3388564,-0.1503925,0,-0.31435,0.45014,0,0.41811228,1,1,1,1,1,0,1,0,1,1
SNORA38B,0,-0.06913,0,0,0,0.30721,0.11217,0.40038,0,0.29746973,1,1,1,1,1,0,1,0,1,1
SNORA39,-0.28305,-0.04191,-0.39361,0.11134612,-0.4977242,-0.15705,-0.36108,0.38527,0.21819703,0.27991466,1,1,1,1,1,0,1,0,1,1
SNORA4,0.45084,0.08563,-0.14171,0.19264056,0.18839604,0.29868,0.00958,1.20469,2.01571553,1.29539845,0.10136584,1,0.6825389,1,1,0.59478505,0.9837706,0,1,1
SNORA40,0.31698,-0.28165,-0.41397,0.45092585,0.27053726,0.78193,0.19502,1.40946,1.09860294,1.05872133,0.15720451,0.73352858,0.06127123,0.50093561,0.74281757,0.04099625,0.41806423,0.00045275,6.12E-05,5.82E-05
SNORA41,-0.0178,-0.20629,-0.19256,-0.2212277,-0.2634454,0.31035,-0.17919,0.31052,1.55468055,1.40022035,1,1,1,1,1,0,1,0,1,1
SNORA42,-0.15107,0,-0.06012,-0.0439358,0.06163306,0.25117,-0.05289,0.65873,1.03376686,1.47327288,1,1,1,1,1,0,1,0,1,1
SNORA43,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORA44,0.3751,0.00558,0.20671,0.46071875,0.8164417,-0.5253,0.03174,0.67364,0.86498953,0.15491563,0.31444893,1,0.67202376,1,1,0,1,0,1,1
SNORA46,0.03804,0,-0.19143,0.84892954,0.23815991,0.36571,0.08016,0.89477,0.90192884,0.39270193,1,1,1,1,1,0,1,0,1,1
SNORA47,-0.18775,-0.03441,-0.22878,-0.102689,-0.2343606,0.36542,-0.3219,1.75824,1.19986045,0.39456577,1,1,1,1,1,0,1,0,1,1
SNORA49,-0.0365,-0.15793,0.11877,-0.0542286,-0.0051829,0.41816,-0.15472,0.83291,0.20159932,-0.144094,1,1,1,1,1,0,1,0,1,1
SNORA50,-0.17494,0.12943,-0.24381,-0.3595615,-0.4751063,0.08042,-0.48748,0.34938,1.05529128,1.78998028,1,1,1,1,1,0,1,0,1,1
SNORA51,0.17621,0.09668,0.30585,0.04864044,-0.3819565,0.63751,-0.21081,-0.45978,-0.0391317,-0.1957159,1,1,1,1,1,0,0.60021462,0,1,1
SNORA52,0.24416,-0.1487,0.12584,-0.486006,-0.4312991,0.79635,0.21314,1.83018,1.59340091,1.86799218,0.53055974,1,0.79854952,1,1,0,1,0.00050258,1,1
SNORA53,0.29236,0.26583,0.10464,0.16569162,0.44301959,0.30011,0.31869,1.27853,1.46746165,1.30789113,1,1,1,1,1,0,1,0,1,1
SNORA54,-0.089,0,-0.1949,-0.3257413,-0.2191369,0.04327,0.17924,1.12027,0.20734784,0.70815181,1,1,1,1,1,0,1,0,1,1
SNORA55,0.27708,0.01315,0.29204,-0.1693067,-0.4389954,-0.25094,-0.00955,-0.3629,0.0357618,-0.0573045,1,1,1,1,1,0,1,0,1,1
SNORA56,0.03274,-0.28521,0.20141,0.18145986,0.40384474,-0.07641,-0.21592,0.70622,0.26242163,0.39104336,1,1,1,1,1,0,1,0,1,1
SNORA57,-0.19515,-0.55254,-0.17554,-1.2159238,-1.6134864,-0.66457,-0.53046,1.17933,0.98799745,1.77627657,0.61209563,1,0.63087336,1,1,0,1,0,1,0.00018681
SNORA58,0.13242,-0.33892,0.07982,-0.18399,-0.7038086,-0.42026,-0.22092,-0.199,0.17183537,0.08355703,1,1,1,1,1,0,1,0,1,1
SNORA59A,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORA59B,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORA5A,-0.29099,-0.10192,-0.34863,0.02097384,-0.7443014,0.47126,0.42559,0.76432,0.63967318,0.38771575,1,1,1,1,1,0,1,0,1,1
SNORA5B,-0.0314,-0.02082,-0.09317,0.57103726,0.53355122,0.60531,-0.45542,0.25952,0.76857325,1.34327155,1,1,1,1,1,0,1,0,1,1
SNORA5C,-0.01094,-0.19705,0.04844,-0.7510515,-0.6275053,-0.1681,-0.59877,0.38067,0.6273327,0.10877779,1,1,1,1,1,0.76368351,1,0,1,1
SNORA6,0.05842,0.04472,-0.02206,0.56437141,-0.0238446,0.24054,-0.58317,0.43243,0.9761511,0.68330635,0.88801648,1,0.95670388,1,1,0,0.05513325,0,1,1
SNORA60,-0.16569,0.05121,-0.00316,-0.3390317,-0.1994436,-0.43,-0.28409,0.40253,1.24024511,-0.3116197,1,1,1,1,1,0,1,0,1,1
SNORA61,-0.2899,0.38796,-0.21407,0.56958789,0.39822339,0.29023,-0.29644,-0.17004,0.33954539,0.27126699,0.26819918,0.65167857,0.456972,0.35202617,0.53445248,0.47491343,0.21452831,0,0.5263801,0.53127675
SNORA62,0.42663,0.09356,0.03148,0.16567679,-0.1995952,-0.01712,0.02326,1.51987,1.84188339,2.04232747,0.23092293,1,0.95267598,1,1,0,0.95951514,0,7.93E-05,7.41E-07
SNORA64,0.38675,-0.01206,0.23276,-0.7734796,-0.5674627,0.07055,-0.66675,0.95432,0.79631948,0.11724857,0.21961206,1,0.49719896,1,1,0,0.06884371,0,1,1
SNORA65,-0.17925,0.12191,0.76885,-0.0575114,-1.2984624,-0.45278,-0.20048,0.5653,2.18270421,2.30588925,1,1,0.062944,1,1,0,1,0,1,1
SNORA66,-0.17422,-0.04191,-0.59651,-0.3221928,0.08223411,0.8403,0.01167,0.72851,1.76226193,1.33385262,1,1,1,1,1,0,1,0,1,1
SNORA67,-0.11395,-0.40415,-0.28376,-0.5501048,0.10077794,-0.04791,-0.41191,1.79281,1.72138545,1.71049385,0.69799581,0.63873517,0.26576069,0.36600264,0.8784702,0.9313968,0.14938808,4.28E-06,3.95E-08,9.83E-09
SNORA68,-0.35599,0.14159,0.01357,-0.405822,-0.6954907,0.61623,-0.00783,1.456,1.89998153,1.78576096,1,1,1,1,1,0,1,0,1,1
SNORA69,0.11289,0.03708,0.14755,0.12742103,0.20022837,0.54695,0.16142,0.46831,0.96622275,1.57986217,1,1,1,1,1,0,1,0,1,1
SNORA70,-0.19794,-0.47106,-0.17241,-0.7084236,-0.5936946,0.31103,-0.37471,0.91088,1.81447317,1.77312645,0.33975059,0.5721616,0.50237297,0.35614831,0.46725306,0.43708292,0.12268394,0.02689558,4.59E-13,1.98E-10
SNORA70B,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORA70C,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORA70D,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORA70E,0,0,0,0,0,0.10599,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORA70F,-0.01033,0,-0.02678,0,0,0,0,0.40038,0.36623664,0.26804011,1,1,1,1,1,0,1,0,1,1
SNORA70G,0,0,0,0,0,0,0,0,0,0.3869017,1,1,1,1,1,0,1,0,1,1
SNORA71A,0.10804,-0.14592,0.362,0.45162202,0.5313063,0.80769,-0.11517,0.69673,-0.1057241,-0.5283765,1,1,1,1,1,0,1,0,1,1
SNORA71B,0.52526,-0.04226,-0.32542,-0.1455413,-0.2840917,-0.23391,-0.74433,0.82453,0.69601754,0.00738542,1,1,1,1,1,0,1,0,1,1
SNORA71C,-0.19772,0.05486,0.6502,-0.8513472,-0.6192179,0.34108,-0.52425,0.29388,-0.3149328,-0.098966,1,1,1,1,1,0,1,0,1,1
SNORA71D,-0.089,0,0.09027,-0.2070152,-0.2343606,0.11735,0.07351,1.08841,0,0,1,1,1,1,1,0,1,0,1,1
SNORA72,0.14801,-0.0766,-0.22171,-0.2252976,-0.4725635,-0.57035,-0.45588,1.99758,1.21818876,2.01297379,1,1,1,1,1,0,1,0,1,1
SNORA74A,-0.23527,-0.08488,0.3309,0.10026391,0.14137161,0.56472,0.19615,1.33223,0.57480458,0.10890504,1,1,1,1,1,0,1,0,1,1
SNORA74B,0.05656,-0.06913,0.19832,0,0.14959346,0.63037,0.4519,0.45708,0.40750179,0.14719483,1,1,1,1,1,0,1,0,1,1
SNORA75,0.23684,-0.02082,0.14519,0.54841129,-0.0623688,-0.2859,0.10565,0.57747,1.97218764,2.04778419,1,1,1,1,1,0,1,0,1,1
SNORA76,-0.01491,-0.35318,-0.28123,-1.6795926,-1.4360152,-0.67162,-1.8182,0.73557,-1.0284691,-0.2180233,1,1,1,0.03363568,0.06514323,0,4.57E-07,0.11405875,1,1
SNORA77,0.33624,0,-0.30875,0.10026391,0.55491876,0.10599,0.37082,0,0.76857325,0.25788583,1,1,1,1,1,0,1,0,1,1
SNORA78,0.06026,0,-0.25909,-1.5850254,-1.581616,-0.14787,-0.25893,1.80838,1.43817259,0.26804011,1,1,1,1,1,0,1,0,1,1
SNORA79,-0.089,0,-0.04655,0,0,0,0.11217,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORA7A,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORA7B,-0.02885,0.16413,0.14519,-0.1468365,-0.4235172,0.65377,-0.18644,0.25608,0.36623664,0.99411725,1,1,1,1,1,0,1,0,1,1
SNORA8,0.26845,0.67648,-0.13555,0.39010569,-0.0507354,0.47234,0.14508,1.4087,2.03872279,2.21891347,0.41581315,0.38389253,0.74745522,0.53205038,1,0.22418087,0.63453032,0.00058544,9.15E-09,3.56E-10
SNORA80,0,0.04748,0,-0.3388564,-0.3580956,0,0,-0.04114,0,0,1,1,1,1,1,0,1,0,1,1
SNORA80B,0.08718,0,0.33297,0.00796022,0.26765408,0.02168,0.17528,0.82769,2.47796656,2.46577947,1,1,1,1,1,0,1,0,1,1
SNORA81,0.04136,0.17868,-0.03943,0.08363654,-0.0749005,-0.72229,0.34024,0.58403,0.72782756,0.58699672,0.93347313,1,0.93589036,1,1,0,0.4182782,0,1,1
SNORA84,-0.0365,0,-0.08284,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORA9,-0.15762,-0.04813,-0.20655,0.72675219,-0.3754935,0.35687,-0.46589,1.19908,0.40223387,-0.2794052,0.72046856,1,0.67179568,1,1,0,0.21211888,0,1,1
SNORD10,-0.28045,-0.07138,-0.47341,-0.0602639,0.13872796,0.57021,-0.82984,1.6005,2.70072832,2.72609433,0.42495723,1,0.20005572,1,1,0,0.01143113,0.00029871,7.59E-08,3.50E-09
SNORD100,-0.15606,-0.07472,-0.28017,0.18934413,0.0497469,-0.79138,0.0998,0.74594,0.85877192,0.84066506,1,1,1,1,1,0,1,0,1,1
SNORD101,-0.07214,-0.02304,-0.56454,0.41200454,0.54961675,-0.29585,-0.44073,0.96239,1.4383148,1.56640341,1,1,1,1,1,0,1,0,1,1
SNORD102,0.17388,0.26228,0.28754,-0.4454121,-1.0063348,0.63052,0.21792,0.54941,2.34981589,1.93712006,1,1,1,1,1,0,1,0,1,1
SNORD103A,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD103B,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD105,0.09073,0,0.18356,0,0,0,-0.31719,0,0.822093,0,1,1,1,1,1,0,1,0,1,1
SNORD105B,0,0,0,0,0,0,0,-0.02925,0,0,1,1,1,1,1,0,1,0,1,1
SNORD107,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD108,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD109A,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD109B,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD11,-0.03206,-0.13788,0.00638,0.9449631,1.76305742,-0.07432,-0.20039,1.33418,1.5711689,1.35886647,1,1,1,1,1,0,1,0,1,1
SNORD110,0.04557,-0.52457,0.38756,0.02846404,0.58969932,-0.3129,-0.62812,0.10837,-0.3115728,-0.5243991,1,1,0.41640543,1,1,0,0.08488225,0,1,1
SNORD111,-0.08967,-0.04191,-0.04828,0.09325865,0,0.19005,-0.01211,0,0,0.25890683,1,1,1,1,1,0,1,0,1,1
SNORD111B,0,0,0,0.37023791,0,0,0.11831,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD113-1,0,0,0,0,0.22227207,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD113-2,-0.1191,0,-0.11861,0.10915181,0,0,0.07802,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD113-4,0.25218,0,-0.04641,-0.2002116,-0.3569163,0,-0.04461,0,0.36623664,0.29746973,1,1,1,1,1,0,1,0,1,1
SNORD113-5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD113-6,0,0,0,0,0,0,0,0,0.35997826,0,1,1,1,1,1,0,1,0,1,1
SNORD113-7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD113-9,0,0,0,0,0,0,-0.12712,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-1,0.10717,0,0.46636,0,0.25951788,0,0,0,0,0.65297067,1,1,1,1,1,0,1,0,1,1
SNORD114-10,0.17127,0,0.19187,0,0.14959346,0,-0.1583,-0.02925,-0.0368785,0.09252583,1,1,1,1,1,0,1,0,1,1
SNORD114-11,0.01909,0,-0.07817,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-12,-0.05761,0,-0.1281,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-13,-0.03392,0.12364,-0.076,0,0,0,0,0,0,0.26804011,1,1,1,1,1,0,1,0,1,1
SNORD114-14,-0.03392,0,0.04172,0,0,0,0.07802,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-15,0.05656,0,0,0,0,0,-0.12712,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-16,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-17,0,0,0.12531,0,0,0,-0.13135,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-18,0.05726,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-19,0,0,0,0,0,0,0,0,0,0.65297067,1,1,1,1,1,0,1,0,1,1
SNORD114-2,0,0,0.12516,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-20,0.14066,0,0.29759,0,0,0,0,0,0.20159932,0.10890504,1,1,1,1,1,0,1,0,1,1
SNORD114-21,-0.0348,0,-0.07817,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-22,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-23,0,0,0,0,0,0,0,0.17119,0,0.26804011,1,1,1,1,1,0,1,0,1,1
SNORD114-24,0,0,0,0,0,0,0,0,0,0.29746973,1,1,1,1,1,0,1,0,1,1
SNORD114-25,0,0,0,0,0,0,0,0,0,0.26804011,1,1,1,1,1,0,1,0,1,1
SNORD114-26,-0.1191,0,-0.25775,0,0,0,0.24227,0,-0.1624681,0.37389107,1,1,1,1,1,0,1,0,1,1
SNORD114-27,0,0,0,0,0,0,0,0,0,0.29746973,1,1,1,1,1,0,1,0,1,1
SNORD114-28,0,0,0,0,0.14137161,0,0,0,0.82163095,0.25890683,1,1,1,1,1,0,1,0,1,1
SNORD114-29,0.05884,0,0,0,0,0,0,0.17119,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-3,-0.08768,0,-0.04242,0,0,0,0,0,0,0.25890683,1,1,1,1,1,0,1,0,1,1
SNORD114-30,0,0,0.12531,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-31,-0.03392,0,-0.076,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-4,0.05726,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-5,0,0.09219,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-6,-0.05677,0,-0.12644,0,0,0,0,-0.02925,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-7,0.08718,0,0.03385,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-8,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD114-9,0,0,0.12516,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-10,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-11,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-12,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-13,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-14,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-15,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-16,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-17,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-18,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-19,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-20,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-21,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-22,0,0,0,0,0,0,0.07802,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-23,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-24,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-26,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-27,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-28,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-29,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-30,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-31,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-32,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-33,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-34,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-35,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-36,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-37,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-38,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-39,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-40,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-41,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-42,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-43,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-44,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-45,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-47,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-48,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-8,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD115-9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD116-1,-0.0738,-0.0693,-0.15861,0.27762871,0.39056039,0,-0.21562,-0.02925,-0.6568462,-0.6719781,1,1,1,1,1,0,1,0,1,1
SNORD116-10,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD116-11,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD116-12,0,0,0,0.41635686,0,0,0.11217,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD116-13,0.05884,0,0,-0.0905403,0.45436958,0,-0.19703,-0.0725,0.0357618,-0.0655677,1,1,1,1,1,0,1,0,1,1
SNORD116-14,0.05656,0.12364,0.1977,0,0.14137161,0,0.08184,-0.29389,-0.2695304,-0.2774587,1,1,1,1,1,0,1,0,1,1
SNORD116-15,0.05726,0,0,0,0.14137161,0,0,-0.02925,-0.5248473,-0.5368664,1,1,1,1,1,0,1,0,1,1
SNORD116-16,-0.0365,0,-0.08284,0.10915181,0.14959346,0,-0.08973,-0.07346,0,0,1,1,1,1,1,0,1,0,1,1
SNORD116-17,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD116-18,0,0,0.12531,0.09325865,0.14137161,0,0.44682,-0.05235,0.36188165,0,1,1,1,1,1,0,1,0,1,1
SNORD116-19,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD116-2,0.06467,-0.20762,-0.22271,-0.2070152,-0.2343606,0,0.34731,0.36312,-0.7871722,-0.1782225,1,1,1,1,1,0,1,0,1,1
SNORD116-20,0.34513,-0.15663,-0.18043,0.2825663,-0.2366984,0,-0.28479,0.51684,-1.2367215,-1.1141114,1,1,1,1,1,0,1,0,1,1
SNORD116-21,0.26524,0.05093,-0.22566,1.3459519,1.04097075,0,-0.43149,0.0744,-0.8337891,-0.7032859,1,1,1,1,1,0,0.3154846,0,1,1
SNORD116-22,0.16795,-0.3742,-0.1524,-0.6260205,0.11408755,0,0.23385,-0.25486,-0.9019015,-1.7068401,1,1,1,1,1,0,1,0,1,1
SNORD116-23,0.14,0.00902,0.18103,0,0,0,0.41496,0.11996,-0.619224,-0.0924547,1,1,1,1,1,0,1,0,1,1
SNORD116-24,0.12011,-0.20762,-0.10644,-0.4507065,0.50716545,0,0.3723,0.44204,0.10234364,-0.0012984,1,1,1,1,1,0,1,0,1,1
SNORD116-25,0,0,0.12516,0,0,0,0,0,-0.1438204,-0.144094,1,1,1,1,1,0,1,0,1,1
SNORD116-26,0.05726,0,0.12531,0,0,0,-0.16114,-0.02925,0,0,1,1,1,1,1,0,1,0,1,1
SNORD116-27,0.05884,0,0,0.10026391,0,0,-0.07354,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD116-28,0.47748,-0.15793,-0.19642,0.28400355,0.54584699,0,-0.2943,0.20652,-0.6816369,-0.3643069,1,1,1,1,1,0,1,0,1,1
SNORD116-29,-0.0365,0,-0.08284,0,0,0,0.07585,0,0.17183537,0.57632181,1,1,1,1,1,0,1,0,1,1
SNORD116-3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD116-4,0.38228,0.10304,-0.06251,-0.5418776,0.11317711,0,-0.60603,-0.74387,-0.511117,-0.8868455,0.29547655,1,0.90358388,1,1,0,0.13316704,0,1,1
SNORD116-5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD116-6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD116-7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD116-8,0.02152,0,-0.076,-0.0530209,0.07052955,0,-0.20024,0.02416,-0.7565877,-0.4283217,1,1,1,1,1,0,1,0,1,1
SNORD116-9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
SNORD117,-0.25461,0.2318,-0.49166,-0.1466434,-0.2929979,0.27889,0.18146,-0.10689,0.91831905,0.4229306,1,1,1,1,1,0,1,0,1,1
SNORD119,0.09073,0.05121,0.18356,0.56618957,0.14959346,0.77063,-0.65581,0.33844,2.37576851,2.51711378,1,1,1,1,1,0,1,0,1,1
